Word	Annotation	Sense	Part of Speech	Level	English
vierzig	vierzig		num	B2+	forty
Vordergrund	der Vordergrund, -̈e		der	B2+	foreground
Reiz	der Reiz, -e		der	B2+	stimulus, appeal
verständlich	verständlich		adj	B1	comprehensible
Wahlkampf	der Wahlkampf, -̈e		der	B2+	election campaign
flüssig	flüssig		adj	B2+	liquid
Sturm	der Sturm, -̈e		der	B1	storm
Akteur	der Akteur, -e		der	B2+	player, actor
entnehmen, entnimmt, entnahm, hat entnommen	entnehmen, entnimmt, entnahm, hat entnommen		verb	B2+	to take from, remove, withdraw, infer
räumen, räumt, räumte, hat geräumt	räumen, räumt, räumte, hat geräumt		verb	B2+	to clear
konsequent	konsequent		adj	B2+	consistent
bekämpfen, bekämpft, bekämpfte, hat bekämpft	bekämpfen, bekämpft, bekämpfte, hat bekämpft		verb	B2+	to fight, combat
Gehalt	der Gehalt, -e		das, der	A2	salary; meaning, contents
indes	indes		adv	B2+	meanwhile
Motto	das Motto, -s		das	B2+	motto
Philosophie	die Philosophie, -n		die	B2+	philosophy
Sender	der Sender, -		der	B1	broadcasting station
Talent	das Talent, -e		das	B1	talent
extra	extra		adv	B1	separately, extra
Fleck	der Fleck, -e		der	B1	stain
fressen, frisst, fraß, hat gefressen	fressen, frisst, fraß, hat gefressen		verb	B1	to eat
Klage	die Klage, -n		die	B2+	complaint, lawsuit
anfangs	anfangs		adv	B1	initially, at first
Beratung	die Beratung, -en		die	B1	advice, discussion, consultation
Gestaltung	die Gestaltung, -en		die	B2+	design, organization
katholisch	katholisch		adj	B2+	Catholic
merkwürdig	merkwürdig		adj	B1	strange
bedecken, bedeckt, bedeckte, hat bedeckt	bedecken, bedeckt, bedeckte, hat bedeckt		verb	B2+	to cover
Kuh	die Kuh, -̈e		die	B2+	cow
verknüpfen, verknüpft, verknüpfte, hat verknüpft	verknüpfen, verknüpft, verknüpfte, hat verknüpft		verb	B2+	to tie
Vorgehen	das Vorgehen		das	B2+	action, approach
drüben	drüben		adv	A2	over there
erschießen, erschießt, erschoss, hat erschossen	erschießen, erschießt, erschoss, hat erschossen		verb	B2+	to shoot
Nutzer	der Nutzer, -		der	B2+	user
Stabilität	die Stabilität		die	B2+	stability
verringern, verringert, verringerte, hat verringert	verringern, verringert, verringerte, hat verringert		verb	B2+	to reduce
juristisch	juristisch		adj	B2+	legal, juridical
peinlich	peinlich		adj	B1	embarrassing
Anstrengung	die Anstrengung, -en		die	B2+	effort
Nationalsozialist	der Nationalsozialist, -en (Nazi)		der	B2+	National Socialist, Nazi
rechtfertigen, rechtfertigt, rechtfertigte, hat gerechtfertigt	rechtfertigen, rechtfertigt, rechtfertigte, hat gerechtfertigt		verb	B2+	to justify
Zitat	das Zitat, -e		das	B2+	quotation, quote
Anpassung	die Anpassung, -en		die	B2+	adaptation
kaputt	kaputt		adj	A1	broken, ruined
Menschheit	die Menschheit		die	B2+	humanity
Note	die Note, -n		die	A2	note, grade
seufzen, seufzt, seufzte, hat geseufzt	seufzen, seufzt, seufzte, hat geseufzt		verb	B2+	to sigh
Achtung	die Achtung		die	A1	respect
ausgleichen, gleicht aus, glich aus, hat ausgeglichen	ausgleichen, gleicht aus, glich aus, hat ausgeglichen		verb	B2+	to even out, reconcile
Pilot	der Pilot, -en		der	B2+	pilot
Vereinbarung	die Vereinbarung, -en		die	B2+	agreement
aufbrechen, bricht auf, brach auf, hat aufgebrochen	aufbrechen, bricht auf, brach auf, hat aufgebrochen		verb	B2+	to leave, take off, break open
Labor	das Labor, -e		das	B2+	laboratory
voraussetzen, setzt voraus, setzte voraus, hat vorausgesetzt	voraussetzen, setzt voraus, setzte voraus, hat vorausgesetzt		verb	B2+	to presuppose, take for granted
divers	divers		adj	B2+	diverse, various
Höhepunkt	der Höhepunkt, -e		der	B2+	highlight, peak
Wiese	die Wiese, -n		die	B1	meadow
Anerkennung	die Anerkennung, -en		die	B2+	recognition
ausgeprägt	ausgeprägt		adj	B2+	distinct, pronounced, remarkable
Autobahn	die Autobahn, -en		die	A1	expressway, motorway
Formulierung	die Formulierung, -en		die	B2+	formulation
Berücksichtigung	die Berücksichtigung, -en		die	B2+	consideration
dementsprechend	dementsprechend		adj	B2+	accordingly
Schreck	der Schreck, -e		der	B1	fright, shock
Weihnachten	das Weihnachten, -		das, die (pl)	B2+	Christmas
Anschluss	der Anschluss, -̈e		der	A1	connection
